Name,Link,Layer,Arch,Open,City,Mature,Integ,Gov,Viz,DM,Sim,IoT,Std,Infra,Model,Date
DTCC,https://dtcc.chalmers.se,core-platform,4,5,4,3,4,4,3,4,4,3,4,4,deep-research-report-expert-v2,2026-04-15
Virtual Singapore,https://www.nrf.gov.sg/programmes/virtual-singapore,core-platform,4,1,5,5,2,2,5,4,5,4,3,4,deep-research-report-expert-v2,2026-04-15
Bentley iTwin Platform,https://www.bentley.com/software/itwin-platform/,backbone,5,4,4,5,5,2,4,5,4,4,5,5,deep-research-report-expert-v2,2026-04-15
Esri ArcGIS Urban,https://www.esri.com/en-us/arcgis/products/arcgis-urban/overview,core-platform,4,2,5,5,4,1,5,5,4,3,4,4,deep-research-report-expert-v2,2026-04-15
Siemens Xcelerator / City Twin,https://xcelerator.siemens.com,core-platform,5,2,5,5,4,2,4,5,5,5,4,4,deep-research-report-expert-v2,2026-04-15
Cityzenith SmartWorldPro,https://www.cityzenith.com,core-platform,3,1,5,3,3,1,5,4,4,4,2,3,deep-research-report-expert-v2,2026-04-15
Replica,https://replicahq.com,domain-module,3,1,5,4,3,2,4,5,5,2,2,2,deep-research-report-expert-v2,2026-04-15
Cityflows (Ito World),https://www.itoworld.com,domain-module,3,1,4,4,3,2,4,3,5,4,3,2,deep-research-report-expert-v2,2026-04-15
Autodesk Tandem,https://tandem.autodesk.com,backbone,4,1,3,4,4,2,4,5,3,4,4,5,deep-research-report-expert-v2,2026-04-15
Mobility Data Specification (MDS) / UrbanOS,https://github.com/UrbanOS-Public/smartcitiesdata,backbone,5,5,4,3,5,4,2,5,2,5,5,2,deep-research-report-expert-v2,2026-04-15
FIWARE Orion Context Broker,https://fiware-orion.readthedocs.io,backbone,5,5,3,5,5,5,1,5,1,5,5,1,deep-research-report-expert-v2,2026-04-15
3DCityDB,https://www.3dcitydb.org,backbone,5,5,5,5,4,4,2,5,1,1,5,3,deep-research-report-expert-v2,2026-04-15
Cesium,https://cesium.com,backbone,5,4,4,5,5,3,5,3,1,2,5,3,deep-research-report-expert-v2,2026-04-15
Eclipse Ditto,https://www.eclipse.org/ditto/,backbone,4,4,2,5,5,4,1,5,1,5,4,1,deep-research-report-expert-v2,2026-04-15
Eclipse MOSAIC,https://eclipse.dev/mosaic/,domain-module,4,4,4,4,4,4,2,3,5,3,3,2,deep-research-report-expert-v2,2026-04-15
OGC SensorThings API,https://www.ogc.org/standard/sensorthings/,backbone,5,5,2,5,5,5,1,4,1,5,5,1,deep-research-report-expert-v2,2026-04-15
OpenDRIVE / ASAM,https://www.asam.net/standards/detail/opendrive/,backbone,3,4,3,5,4,3,1,3,4,2,5,2,deep-research-report-expert-v2,2026-04-15
SUMO (Simulation of Urban MObility),https://eclipse.dev/sumo/,domain-module,4,5,4,5,4,4,2,3,5,2,4,1,deep-research-report-expert-v2,2026-04-15
GeoServer / GeoNetwork,https://geoserver.org,backbone,4,4,3,5,5,4,2,5,1,2,5,2,deep-research-report-expert-v2,2026-04-15
AWS IoT TwinMaker,https://aws.amazon.com/iot-twinmaker/,backbone,4,1,3,4,5,1,4,4,3,5,3,3,deep-research-report-expert-v2,2026-04-15
Azure Digital Twins,https://azure.microsoft.com/en-us/products/digital-twins,backbone,4,1,4,5,5,1,3,5,2,5,4,3,deep-research-report-expert-v2,2026-04-15
NVIDIA Omniverse,https://www.nvidia.com/en-us/omniverse/,backbone,5,2,4,4,5,2,5,4,5,4,4,4,deep-research-report-expert-v2,2026-04-15
Unreal Engine,https://www.unrealengine.com,backbone,4,3,4,5,5,2,5,3,5,4,3,3,deep-research-report-expert-v2,2026-04-15
Mapbox,https://www.mapbox.com,backbone,4,2,3,5,5,1,5,3,2,3,4,2,deep-research-report-expert-v2,2026-04-15
ThingsBoard,https://thingsboard.io,backbone,4,4,3,5,5,3,3,4,1,5,4,2,deep-research-report-expert-v2,2026-04-15
